feature,coef
player0_rank_points,143
player0_age,132
player0_rank,130
player1_break_points_faced,126
player1_rank_points,125
player0_break_points_faced,109
player1_rank,106
player1_return_first_serve_pt_won,106
player1_age,103
player0_return_second_serve_won,99
player0_aces,96
player1_aces,92
player0_first_serve_won,89
player0_second_serve_won,89
player0_return_first_serve_pt_won,88
player1_first_serve_won,87
player0_break_points_saved,82
player1_double_faults,78
player1_break_points_saved,77
player0_bp_converted,76
player1_return_second_serve_won,73
player1_second_serve_won,72
player1_bp_opportunities,71
player0_double_faults,70
player1_first_serve_pt,70
player0_bp_opportunities,69
player0_id,64
player0_first_serve_pt,60
player0_match_difficulty,58
player1_bp_converted,57
player1_match_difficulty,54
player1_id,47
player0_h2h,38
player1_h2h,38
day_sin,30
surface_Clay,28
draw_size,20
surface_Grass,14
best_of,8
round,8
day_cos,6
surface_Hard,4
player1_hand,3
tourney_level_M,3
surface_Carpet,1
tourney_level_A,1
player0_hand,0
tourney_level_D,0
tourney_level_F,0
tourney_level_G,0
