feature,coef
player1_rank,218
player0_rank,212
player0_return_first_serve_pt_won,128
player0_age,124
player0_break_points_faced,123
player1_return_first_serve_pt_won,121
player1_break_points_faced,118
player1_age,109
player0_aces,105
player1_aces,100
player0_first_serve_won,99
player0_double_faults,94
player0_return_second_serve_won,94
player1_double_faults,85
player0_bp_opportunities,84
player1_bp_converted,84
player0_break_points_saved,81
player0_first_serve_pt,79
player1_return_second_serve_won,79
player1_first_serve_won,78
player1_second_serve_won,78
player1_bp_opportunities,78
player1_break_points_saved,76
player1_match_difficulty,75
player0_bp_converted,72
player1_first_serve_pt,72
player0_match_difficulty,71
player0_second_serve_won,70
player0_h2h,39
player1_h2h,35
surface_Clay,33
day_sin,29
draw_size,14
surface_Grass,13
round,6
surface_Carpet,6
surface_Hard,5
tourney_level_M,4
day_cos,4
best_of,2
player0_hand,1
player1_hand,1
tourney_level_A,1
tourney_level_D,0
tourney_level_F,0
tourney_level_G,0
