feature,coef
player0_rank,216
player1_rank,199
player1_break_points_faced,132
player0_break_points_faced,129
player0_age,119
player0_return_first_serve_pt_won,115
player1_return_first_serve_pt_won,106
player1_age,98
player1_id,94
player1_aces,94
player0_first_serve_won,91
player0_aces,91
player0_return_second_serve_won,85
player0_break_points_saved,83
player1_double_faults,83
player0_bp_opportunities,82
player1_return_second_serve_won,82
player1_second_serve_won,77
player1_break_points_saved,77
player1_first_serve_won,76
player0_double_faults,75
player1_bp_converted,74
player1_bp_opportunities,71
player0_first_serve_pt,70
player0_id,69
player0_second_serve_won,68
player1_match_difficulty,68
player1_first_serve_pt,64
player0_bp_converted,59
player0_match_difficulty,55
player0_h2h,38
day_sin,37
surface_Clay,34
player1_h2h,29
draw_size,17
surface_Grass,12
round,11
day_cos,6
surface_Carpet,5
tourney_level_M,4
best_of,2
surface_Hard,2
player1_hand,1
player0_hand,0
tourney_level_A,0
tourney_level_D,0
tourney_level_F,0
tourney_level_G,0
