feature,coef
player0_rank_points,295
player1_rank_points,280
break_points_faced,164
player0_age,163
return_first_serve_pt_won,158
player1_age,146
aces,144
second_serve_won,138
break_points_saved,136
double_faults,135
first_serve_won,129
bp_converted,117
first_serve_pt,116
return_second_serve_won,116
player0_id,115
bp_opportunities,113
player1_id,109
match_difficulty,102
player0_h2h,55
day_sin,55
surface_Clay,45
player1_h2h,42
draw_size,33
round,24
surface_Grass,19
day_cos,14
best_of,11
surface_Hard,8
tourney_level_M,6
surface_Carpet,4
tourney_level_A,4
player0_hand,3
player1_hand,1
tourney_level_D,0
tourney_level_F,0
tourney_level_G,0
